key,time,event
a,1723991519.8321793,press
j,1723991519.8330178,press
s,1723991519.8409634,press
d,1723991519.8521764,press
k,1723991519.9541993,press
j,1723991519.9544291,release
s,1723991519.998519,release
a,1723991520.0577261,release
j,1723991520.0661063,press
k,1723991520.174041,release
e,1723991520.3340495,press
w,1723991520.3343544,press
j,1723991520.3466928,release
d,1723991520.3532486,release
i,1723991520.4059093,press
d,1723991520.5270808,press
u,1723991520.5290637,press
w,1723991520.5421712,release
e,1723991520.543809,release
w,1723991520.7201865,press
u,1723991520.726816,release
e,1723991520.7371593,press
d,1723991520.7503135,release
u,1723991520.7523699,press
u,1723991521.004543,release
e,1723991521.0192533,release
Key.space,1723991521.0629427,press
w,1723991521.067721,release
i,1723991521.107097,release
f,1723991521.1857638,press
Key.space,1723991521.2006469,release
u,1723991521.3105507,press
w,1723991521.3251412,press
e,1723991521.3395286,press
f,1723991521.388716,release
i,1723991521.417994,press
u,1723991521.4329178,release
w,1723991521.4963768,release
e,1723991521.5193365,release
i,1723991521.5650637,release
s,1723991521.7004457,press
a,1723991521.7130768,press
a,1723991521.849875,release
d,1723991521.8582172,press
s,1723991521.888708,release
o,1723991522.024961,press
i,1723991522.063916,press
w,1723991522.0982287,press
i,1723991522.2253885,release
d,1723991522.2303054,release
o,1723991522.2560833,release
w,1723991522.3977597,release
d,1723991522.4023223,press
s,1723991522.575764,press
a,1723991522.5761008,press
d,1723991522.6129947,release
d,1723991522.7118237,press
a,1723991522.7488768,release
s,1723991522.7706728,release
d,1723991522.9745255,release
s,1723991522.9762094,press
Key.space,1723991522.981913,press
d,1723991523.0972943,press
Key.space,1723991523.1057272,release
s,1723991523.1072128,release
u,1723991523.2244115,press
i,1723991523.2599652,press
s,1723991523.2697268,press
a,1723991523.2815735,press
d,1723991523.2956452,release
d,1723991523.3903544,press
i,1723991523.3992746,release
a,1723991523.4146621,release
s,1723991523.426754,release
u,1723991523.6952772,release
w,1723991523.722761,press
i,1723991523.7710688,press
w,1723991523.838185,release
i,1723991524.0009856,release
s,1723991524.0059495,press
a,1723991524.0061104,press
d,1723991524.0873303,release
i,1723991524.183465,press
d,1723991524.1904156,press
a,1723991524.2094204,release
s,1723991524.2308466,release
i,1723991524.4048352,release
Key.space,1723991524.463551,press
w,1723991524.5333967,press
Key.space,1723991524.5839732,release
d,1723991524.5941753,release
d,1723991524.6870594,press
u,1723991524.7167356,press
w,1723991524.7834086,release
i,1723991524.785281,press
w,1723991524.8644412,press
u,1723991524.8778462,release
d,1723991524.90748,release
e,1723991524.9389236,press
u,1723991524.9905844,press
i,1723991525.069292,release
e,1723991525.113145,release
w,1723991525.1300907,release
u,1723991525.1455941,release
d,1723991525.1760237,press
a,1723991525.2864501,press
s,1723991525.2924988,press
d,1723991525.3341763,release
d,1723991525.4659405,press
a,1723991525.470066,release
s,1723991525.497984,release
j,1723991525.556267,press
j,1723991525.7417855,release
e,1723991525.7682977,press
Key.space,1723991525.8421705,press
w,1723991525.8608441,press
d,1723991525.8774343,release
e,1723991525.9381719,release
Key.space,1723991525.9796367,release
w,1723991525.9927163,release
d,1723991526.0130725,press
u,1723991526.065519,press
i,1723991526.1100795,press
d,1723991526.1847255,release
u,1723991526.191039,release
i,1723991526.215515,release
d,1723991526.2821789,press
u,1723991526.2971516,press
u,1723991526.4275408,release
j,1723991526.5559247,press
j,1723991526.7524884,release
i,1723991526.769467,press
e,1723991526.76989,press
w,1723991526.7703085,press
d,1723991526.7952163,release
e,1723991526.8298244,release
w,1723991526.8559287,release
d,1723991526.8984923,press
Key.space,1723991526.9053705,press
i,1723991526.919571,release
d,1723991527.0479417,release
Key.space,1723991527.0578127,release
d,1723991527.1560655,press
j,1723991527.2945035,press
d,1723991527.315481,release
d,1723991527.4026542,press
j,1723991527.4982321,release
a,1723991527.5260606,press
s,1723991527.5411897,press
d,1723991527.5733638,release
i,1723991527.6017284,press
i,1723991527.6737854,release
Key.space,1723991527.680644,press
d,1723991527.6939669,press
a,1723991527.7333658,release
s,1723991527.7677178,release
i,1723991527.8142076,press
Key.space,1723991527.8381836,release
e,1723991527.9947858,press
w,1723991527.9961476,press
d,1723991528.0103493,release
i,1723991528.0377846,release
u,1723991528.039643,press
e,1723991528.1292133,release
w,1723991528.1343055,release
d,1723991528.163743,press
w,1723991528.2731037,press
d,1723991528.3032107,release
u,1723991528.323593,release
w,1723991528.3819404,release
d,1723991528.4050446,press
Key.space,1723991528.475929,press
d,1723991528.5680592,release
Key.space,1723991528.590919,release
s,1723991528.5951421,press
u,1723991528.6634107,press
d,1723991528.6994097,press
i,1723991528.7569728,press
s,1723991528.7619326,release
u,1723991528.770855,release
u,1723991528.8882282,press
w,1723991529.0223117,press
e,1723991529.0227838,press
d,1723991529.0415487,release
u,1723991529.0712612,release
i,1723991529.0792093,release
e,1723991529.1121078,release
d,1723991529.139674,press
w,1723991529.168875,release
Key.space,1723991529.2828553,press
a,1723991529.3476403,press
d,1723991529.3600514,release
s,1723991529.4120858,press
Key.space,1723991529.454973,release
a,1723991529.4844728,release
d,1723991529.4910135,press
u,1723991529.5144897,press
s,1723991529.5293517,release
u,1723991529.660834,release
i,1723991529.6623547,press
w,1723991529.8653948,press
d,1723991529.9269862,release
Key.space,1723991529.9550881,press
i,1723991529.9851182,release
d,1723991530.070222,press
w,1723991530.130293,release
Key.space,1723991530.1316755,release
u,1723991530.2105055,press
i,1723991530.3178596,press
d,1723991530.3473768,release
s,1723991530.3716693,press
u,1723991530.3788285,release
a,1723991530.3891602,press
d,1723991530.4614615,press
a,1723991530.4783213,release
u,1723991530.478498,press
s,1723991530.4980066,release
i,1723991530.5868595,release
a,1723991530.617937,press
i,1723991530.7093725,press
d,1723991530.7390296,release
u,1723991530.7559946,release
d,1723991530.8056984,press
a,1723991530.840475,release
u,1723991530.8699355,press
a,1723991530.9467428,press
d,1723991531.0057058,release
u,1723991531.099351,release
i,1723991531.2654765,release
a,1723991531.2956629,release
Key.esc,1723991531.6844096,press
Key.esc,1723991531.8497488,release
